Kód ADM;Kód obce;Název obce;Kód MOMC;Název MOMC;Kód MOP;Název MOP;Kód části obce;Název části obce;Kód ulice;Název ulice;Typ SO;Číslo domovní;Číslo orientační;Znak čísla orientačního;PSČ;Souřadnice Y;Souřadnice X;Platí Od
17450047;573108;Libáň;;;;;81671;Libáň;166014;Emlerova;č.p.;565;;;50723;682191.41;1019133.74;2013-12-01T00:00:00
17450055;573108;Libáň;;;;;81671;Libáň;166014;Emlerova;č.p.;566;;;50723;682189.54;1019141.65;2013-12-01T00:00:00
17450063;573108;Libáň;;;;;81671;Libáň;166014;Emlerova;č.p.;567;;;50723;682187.67;1019149.29;2013-12-01T00:00:00
17450071;573108;Libáň;;;;;81671;Libáň;166014;Emlerova;č.p.;568;;;50723;682185.93;1019157.87;2013-12-01T00:00:00
17450080;573108;Libáň;;;;;81671;Libáň;166014;Emlerova;č.p.;569;;;50723;682133.59;1019331.63;2013-12-01T00:00:00
17450098;573108;Libáň;;;;;81671;Libáň;166014;Emlerova;č.p.;570;;;50723;682126.52;1019332.35;2013-12-01T00:00:00
17450101;573108;Libáň;;;;;81671;Libáň;166014;Emlerova;č.p.;571;;;50723;682118.93;1019327.11;2013-12-01T00:00:00
17450110;573108;Libáň;;;;;81671;Libáň;166014;Emlerova;č.p.;572;;;50723;682111.16;1019326.84;2013-12-01T00:00:00
17450128;573108;Libáň;;;;;81671;Libáň;166014;Emlerova;č.p.;573;;;50723;682103.72;1019324.47;2013-12-01T00:00:00
17450136;573108;Libáň;;;;;81671;Libáň;166014;Emlerova;č.p.;574;;;50723;682095.95;1019324.23;2013-12-01T00:00:00
17450144;573108;Libáň;;;;;81671;Libáň;166154;Nad Hřištěm;č.p.;577;;;50723;682357.74;1018330.10;2013-12-01T00:00:00
17450152;573108;Libáň;;;;;81671;Libáň;166154;Nad Hřištěm;č.p.;578;;;50723;682335.72;1018333.30;2013-12-01T00:00:00
17450179;573108;Libáň;;;;;81671;Libáň;166154;Nad Hřištěm;č.p.;579;;;50723;682314.50;1018336.47;2013-12-01T00:00:00
17450187;573108;Libáň;;;;;81671;Libáň;166154;Nad Hřištěm;č.p.;580;;;50723;682293.96;1018343.07;2013-12-01T00:00:00
